LIN,CODIGO,RAMO,NOM_ART,TAM,PRES,UNIDAD,CCJ_CON,CCJ_SIN,CU_CON,CU_SIN,PREV_CON,PREV_SIN,FECH_AN,FECH_AC,IVA,GAN,EXIS,UBICA,STK,PROV,SI
ABA,7501023310044,,JALAPEÑOS 215 G S/M,,48,PZA,0.00,205.00,0.00,4.27,0.00,5.30,26/01/2011,26/01/2011,0,24.1,-405,,0,GARIS,
ABA,7501017004362,,FRIJOL COST 560 G BAYO ENT,560 G,12,PZA,0.00,101.00,0.00,8.42,0.00,10.30,31/01/2011,31/01/2011,0,22.4,-281,,0,GARIS,
ABA,7501000941001,,CEREAL GERBER 300 G ARROZ,300 G,1,PZA,0.00,16.00,0.00,16.00,0.00,20.00,23/07/2007,23/07/2007,0,25.0,16,,0,GARIS,
ABA,7613032258610,,NESTUM CEREAL 300 GS AVENA,300 G,1,PZA,0.00,25.00,0.00,25.00,0.00,31.00,29/05/2010,29/05/2010,0,24.0,16,,0,GARIS,
ABA,7613032288372,,NESTUM CER 400G JUNIO C/PROBIOTI,300 G,1,PZA,0.00,28.00,0.00,28.00,0.00,35.00,26/10/2008,10/09/2009,0,25.0,3,,0,GARIS,
ABA,7501003335029,,MOSTAZA MC 210 NO 8,210 G,24,PZA,124.20,156.00,5.18,6.50,6.47,8.00,17/02/2011,17/02/2011,0,23.0,-58,,0,GARIS,
ABA,7509546044453,SUAVIZANTE,SUAVITEL 850 ML ADIOS/PLA SOL,850 ML,12,PZA,132.00,113.79,11.00,9.48,13.40,11.55,08/02/2011,08/02/2011,16,21.8,-64,,0,GARIS,
ABA,7501003127433,,SALSA HERDEZ 210 G RANCHERA,220 G,1,PZA,0.00,5.00,0.00,5.00,0.00,6.50,15/10/2009,15/10/2009,0,30.0,-20,,0,GARIS,
JAR,608049031285,JARCIER,RECOGEDOR PLAST ARCOIRIS E20,CORTO,1,PZA,9.38,8.09,9.38,8.09,12.00,10.34,16/02/2011,16/02/2011,16,27.9,12,,0,GARIS,
ABA,726866050408,,FREGON C/ESPONJA CH,,1,PZA,2.50,2.16,2.50,2.16,3.00,2.59,10/08/2010,10/08/2010,16,20.0,-32,,0,GARIS,
ABA,7501000913572,,GERBER ET 2 100 G MANGO,100 G,1,PZA,0.00,5.56,0.00,5.56,0.00,6.80,23/03/2011,23/03/2011,0,22.3,-211,,0,GARIS,
ABA,7501000913305,,GERBER ET 2 100 GS DZNO,100 G,1,PZA,0.00,5.56,0.00,5.56,0.00,6.80,23/03/2011,23/03/2011,0,22.3,-56,,0,GARIS,
ABA,7501000988815,,GERBER ET 2 100 G F/MIX,100 G,1,PZA,0.00,5.56,0.00,5.56,0.00,6.80,23/03/2011,23/03/2011,0,22.3,-140,,0,GARIS,
ABA,7501000903238,,GERBER ET 2 100 G VER/POLLOS,100 G,1,PZA,0.00,7.00,0.00,7.00,0.00,8.50,23/03/2011,23/03/2011,0,21.4,18,,0,GARIS,
ABA,7501000903443,,GERBER ET 2 100 G F/TROP,100 G,1,PZA,0.00,5.56,0.00,5.56,0.00,6.80,23/03/2011,23/03/2011,0,22.3,-133,,0,GARIS,
ABA,7501000903245,,GERBER ET 2 100 G V/RES,100 G,1,PZA,0.00,5.56,0.00,5.56,0.00,6.80,23/03/2011,23/03/2011,0,22.3,22,,0,GARIS,
ABA,75004729,,GERBER ET 3 170 G TROP,170 G,24,PZA,0.00,204.00,0.00,8.50,0.00,10.50,27/12/2009,27/12/2009,0,23.5,-90,,0,GARIS,
PER,7501737477286,,COTY B 45 G STICK FASHION,45 G,1,PZA,24.40,21.22,24.40,21.22,30.00,26.09,15/07/2009,15/07/2009,16,23.0,20,,0,GARIS,
PER,7501737424174,,COTY B 45 G STICK ATREV,45 G,1,PZA,24.40,21.22,24.40,21.22,30.00,26.09,15/07/2009,15/07/2009,16,23.0,20,,0,GARIS,
PER,52336391604,,MOUSSE GOT 2B 250 ML FIJADOR,250 ML,1,PZA,41.90,36.12,41.90,36.12,53.00,45.69,03/10/2010,03/10/2010,16,26.5,-1,,0,GARIS,
FAR,7501065628145,FARMACIA,POMADA DE LA CAMPANA 19 GR,35 G,20,CAJA,133.00,114.66,6.65,5.73,8.50,7.33,16/03/2010,16/03/2010,16,27.8,-2,,0,GARIS,
PER,52336391666,PERFUMERI,MOUSSE SUAVIZANTE GOT2B REBELDE,250 GR,1,PZA,41.90,36.12,41.90,36.12,53.00,45.69,03/10/2010,03/10/2010,16,26.5,-1,,0,GARIS,
FAR,0,FARMACIA,NAVAJAS PERMA-SHARP INDIVIDUAL,50 PZ,50,TIRA,71.00,61.74,1.42,1.23,2.00,1.74,,31/01/2007,16,40.8,0,,0,GARIS,
PER,75001872,PERFUMERI,BRILLANTINA PALMOLIVE 52 ML,52 ML,1,PZA,9.92,8.55,9.92,8.55,12.50,10.78,17/02/2011,17/02/2011,16,26.0,-2,,0,GARIS,
ABA,7501535300236,FARMACIA,XL-3 INFANTIL TABLETA,20 TAB,20,CAJA,0.00,16.20,0.00,0.81,0.00,1.20,16/02/2011,16/02/2011,0,48.1,0,,0,GARIS,
ABA,7501040090875,YOGURTH,YOPLAIT 125 GR FRESA,125 G,24,PZA,0.00,69.60,0.00,2.90,0.00,3.80,01/03/2011,01/03/2011,0,31.0,-89,,0,FUD,
PAP,0,,SONY TORRE C/100 P,,100,P,306.00,266.09,3.06,2.66,4.50,3.91,03/06/2009,03/06/2009,16,47.1,0,,0,D.F,
PAP,7501058004246,,PINCELIN WEREBER 12 P,,1,PZA,28.00,24.35,28.00,24.35,38.00,33.04,30/07/2009,07/08/2009,16,35.7,0,,0,D F,
PAP,0,,CUTTER GDE,,1,PZA,3.00,2.59,3.00,2.59,6.00,5.17,24/09/2010,24/09/2010,16,100.0,0,,0,D F,
PAP,0,,CUTER PLAST CHICO IMP,CH,1,PZA,1.50,1.29,1.50,1.29,2.50,2.16,24/05/2010,11/12/2010,16,66.7,12,,0,D F,
ABA,0,SEMILLAS,MOLE ALMENDRADO POLVO ROJO 1K,1,1,KILO,0.00,120.00,0.00,120.00,0.00,150.00,09/12/2010,09/12/2010,0,25.0,0,,0,GARIS,
ABA,0,SEMILLAS,PAN MOLIDO SUELTO,1,1,KILO,0.00,10.00,0.00,10.00,0.00,18.00,15/02/2011,15/02/2011,0,80.0,0,,0,AMBRO,
ABA,7501000903252,,GERBER ET 2 100 G GYABA,100 G,1,PZA,0.00,5.56,0.00,5.56,0.00,6.80,23/03/2011,23/03/2011,0,22.3,-32,,0,GARIS,
MER,763876532005,MERCERIA,ESTAMBRE OMEGA CRISTAL 40 G,40 GR,12,PTE,106.00,91.38,8.83,7.61,12.50,10.78,30/03/2011,30/03/2011,16,41.5,17,,0,D F,
MER,0,MERCERIA,CANUTILLO BOLSA COLORES 10 G,10 G,10,CARTON,12.50,10.87,1.25,1.09,2.00,1.74,18/06/2008,18/06/2008,16,60.0,0,,0,ALBER,
MER,0,MERCERIA,ALFILER CIRCULO COLORES,1,10,PZA,50.00,43.10,5.00,4.31,7.50,6.47,03/08/2010,03/08/2010,16,50.0,6,,0,ALBER,
MER,0,MERCERIA,CELOSEDA LISO 50 MTS,50MT,50,PZA,16.65,14.48,0.33,0.29,1.00,0.87,26/11/2009,26/11/2009,16,200.3,0,,0,ALBER,
MER,0,MERCERIA,RAMO DE ROSAS MINI,12,12,BOLSA,25.01,21.75,2.08,1.81,3.50,3.04,05/02/2007,05/02/2007,16,67.9,0,,0,ALBER,
MER,0,MERCERIA,RAMO DE ROSAS CHICA,12,12,BOLSA,27.99,24.34,2.33,2.03,4.00,3.48,,05/02/2007,16,71.5,0,,0,ALBER,
MER,0,,CIERRE 45 CM NAYLO CHAM,45 CM,1,PZA,3.00,2.59,3.00,2.59,5.00,4.31,07/01/2011,07/01/2011,16,66.7,0,,0,ALBER,
MER,0,,CIERRE 40 CM NAYLO CHAMARRA,40 CM,1,PZA,2.70,2.33,2.70,2.33,4.00,3.45,09/02/2011,09/02/2011,16,48.1,0,,0,MBZ,
MER,0,,CIERRE 50 CM NAYLO CHAMARRA,50 CM,1,PZA,3.50,3.02,3.50,3.02,5.50,4.74,09/02/2011,09/02/2011,16,57.1,0,,0,ALBER,
MER,0,,CIERRE 55 CM NAYLO CHAMARRAS,55 CM,1,PZA,3.41,2.94,3.41,2.94,5.50,4.74,16/06/2010,16/06/2010,16,61.3,0,,0,ALBER,
MER,0,,CIERRE 60 CM NAYLO CHAMARRA,60CM,1,PZA,3.60,3.10,3.60,3.10,6.00,5.17,09/02/2011,09/02/2011,16,66.7,0,,0,ALBER,
MER,0,,CIERRE 65 CM NAYLO CHAMARRAS,65 CM,1,PZA,3.85,3.32,3.85,3.32,6.50,5.60,09/02/2011,09/02/2011,16,68.8,0,,0,MBZ,
MER,0,,CIERRE 70 CM NAYLO CHAMARRA,70 CM,1,PZA,4.00,3.45,4.00,3.45,7.00,6.03,12/04/2010,12/04/2010,16,75.0,0,3.1,0,ALBER,
MER,0,,LLUVIA METALICA ESCOLAR,1,1,PZA,1.00,0.86,1.00,0.86,1.50,1.29,29/07/2008,09/04/2010,16,50.0,0,,0,ALBER,
PAP,0,,CUADERNO PROF SCRIBE 100 HS,PROF,36,PZA,290.00,250.00,8.06,6.94,12.00,10.34,28/03/2011,28/03/2011,16,49.0,25,,0,MARCH,
FER,0,,CANDADO PHILLIPS N 112,,1,PZA,25.80,22.43,25.80,22.43,36.00,31.30,24/02/2009,24/02/2009,16,39.5,0,,0,D F,
FAR,7792129001435,,CANDEREL NATURE 24/60 P,,1,PZA,0.00,30.20,0.00,30.20,0.00,38.00,,08/02/2007,0,25.8,-3,,0,,
DUL,7501130930449,HOLANDA,CORNETO CONO 120 ML CHOCOLLAGE,96 G,24,PZA,0.00,259.00,0.00,10.79,0.00,15.00,08/03/2011,08/03/2011,0,39.0,-656,,0,HOLAN,
DUL,7501130932498,HOLANDA,MICHA 473 ML FRESA,250 G,2,PZA,0.00,21.22,0.00,10.61,0.00,18.00,17/04/2009,17/04/2009,0,69.7,-43,,0,HOLAN,
DUL,7501130903245,HOLANDA,MICHA 473 ML OREO,250 G,2,PZA,0.00,32.00,0.00,16.00,0.00,21.00,08/03/2011,08/03/2011,0,31.3,-45,,0,HOLAN,
ABA,0,,CERILLOS CLASICO,,50,PTE,39.00,33.62,0.78,0.67,1.00,0.86,08/11/2010,08/11/2010,16,28.2,0,,0,GARIS,
FER,0,ELECTRICO,SOQUET IUSA CLAVIJA-CONTACTO 145,,1,PZA,4.75,4.13,4.75,4.13,7.00,6.09,30/07/2007,30/07/2007,16,47.4,-5,,0,EL 45,
FER,0,ELECTRICO,CONTACTO IUSA REDONDO N 319,,1,PZA,4.80,4.14,4.80,4.14,7.50,6.47,07/01/2011,07/01/2011,16,56.3,10,,0,EL 45,
FER,0,,APAGADOR COHES PLANO F.124,124,1,PZA,5.20,4.48,5.20,4.48,8.00,6.90,,07/08/2010,16,53.8,20,,0,EL 45,
FER,103358105525,,EXTEN MITZU 3.50/2 RCA 1004,3.5,1,PZA,5.50,4.74,5.50,4.74,9.00,7.76,02/02/2009,07/01/2011,16,63.6,0,,0,EL 45,
FER,0,,PLUG MITZU ROJO COLA 2010 CR,,100,P,34.50,30.00,0.35,0.30,1.00,0.87,,11/02/2007,16,189.9,0,,0,EL 45,
FER,0,,PLACA MITZU 2 ENTRADAS,,1,PZA,11.42,9.84,11.42,9.84,16.00,13.79,,14/03/2010,16,40.1,0,,0,EL 45,
FER,0,,PLACA MITZU TELF 2 SALIDA,,1,PZA,5.90,5.09,5.90,5.09,8.50,7.33,15/02/2007,14/03/2010,16,44.1,0,,0,EL 45,
FER,4050300046570,ELECTRICO,FOCO BELLALUZ 60 W,60 W,40,PZA,316.00,272.41,7.90,6.81,10.00,8.62,02/12/2010,02/12/2010,16,26.6,-57,,0,GARIS,
FER,8711500056634,,FOCO PHILIPS 40 W ENTRADA CH,,1,PZA,8.21,7.14,8.21,7.14,11.50,10.00,31/08/2007,31/08/2007,16,40.1,-1,,0,EL 45,
ABA,7590002035726,,MAESTRO LIMPIO DET 500 G,500 G,18,P,184.00,158.62,10.22,8.81,12.50,10.78,19/02/2011,19/02/2011,16,22.3,-299,,0,GARIS,
ABA,7501001401641,,BOLD 200 G AZUL,200 G,60,PZA,209.00,180.17,3.48,3.00,4.30,3.71,20/01/2009,19/05/2010,16,23.4,25,,0,GARIS,
FER,7501600551006,,PLASTI ACERO 25 ML,25 ML,1,PZA,26.70,23.22,26.70,23.22,37.50,32.61,,14/02/2007,16,40.4,4,,0,MARCU,
FER,799592000603,,LIJA FANDE C 80 MADERA,C 80,50,PZA,145.00,125.00,2.90,2.50,4.50,3.88,19/02/2011,19/02/2011,16,55.2,50,,0,MARCU,
FER,0,,LIJA TENAZIT C 280 AGUA,280,1,PZA,3.30,2.84,3.30,2.84,5.00,4.31,11/12/2007,24/03/2010,16,51.5,50,,0,MARCU,
FER,0,,LIJA FANDE C 100 AGUA,C 100,50,PZA,110.00,94.83,2.20,1.90,3.50,3.02,19/02/2011,19/02/2011,16,59.1,50,,0,MARCU,
FER,0,,FUNCO 1 IZQ PIG-TAIL,,1,PZA,5.40,4.70,5.40,4.70,8.50,7.39,,14/02/2007,16,57.4,75010,,183,MARCU,
ABA,0,ESCOBA,ESCOBA VINIL ECONOMICA,180,24,PZA,344.00,296.55,14.33,12.36,18.50,15.95,27/01/2011,27/01/2011,16,29.1,9,,0,GARIS,
LAC,7501104000567,YOGHURT,LACTIGURT 250 G PIÑA,250 G,12,PZA,0.00,91.50,0.00,7.63,0.00,9.50,21/06/2010,21/06/2010,0,24.6,-160,,0,CA,
FER,0,,PLACA MITZU 3 ENTRADAS,3,1,PZA,10.71,9.23,10.71,9.23,15.00,12.93,,14/03/2010,16,40.1,0,,0,EL 45,
FER,0,,LLAVE DE PASO METAL,,1,PZA,18.00,15.65,18.00,15.65,25.00,21.74,16/02/2007,16/02/2007,16,38.9,19,,0,MARCU,
FER,0,,TEE DE COBRE P/GAS,,1,PZA,15.00,13.04,15.00,13.04,21.00,18.26,15/02/2007,15/02/2007,16,40.0,0,,0,MARCU,
FER,0,,CODO NACOB GAS UNION,,1,PZA,12.80,11.13,12.80,11.13,18.50,16.09,,15/02/2007,16,44.5,0,,0,MARCU,
DUL,7501015051108,CEREZAS,CEREZAS LA SUIZA C/15,15,1,CAJA,0.00,17.80,0.00,17.80,0.00,23.00,08/11/2010,08/11/2010,0,29.2,-33,,0,GARIS,
ABA,7501008017005,ABARROTES,FROOT LOOPS 40 GR,40 GR,12,CAJA,0.00,37.00,0.00,3.08,0.00,4.00,,19/02/2007,0,29.7,-3,,0,GARIS,
ABA,7501510300084,ABARROTES,ALCAPARRAS EL ALCE 84 GR,140 GR,1,FCO,0.00,15.25,0.00,15.25,0.00,19.00,,20/02/2007,0,24.6,-2,,0,SURTI,
,0,,DORITOS 165 G NACHOS,,,,,,,,,,,,,,,,,,
ABA,7501026027536,DETERGEN,BLANCA NIEVES 1K,1 K,10,BOLSA,182.50,157.33,18.25,15.73,22.00,18.97,04/03/2011,04/03/2011,16,20.5,-117,,0,GARIS,
FER,7501892884721,FERRETERA,EXTEN ROTTER 10 M USO RUDO,10 MT,1,PZA,45.00,38.79,45.00,38.79,60.00,51.72,22/07/2008,08/03/2010,16,33.3,10,,0,DF,
FER,7501892884691,,EXTEN ROTTER 04 M USO RUDO,4 MT,1,PZA,19.00,16.38,19.00,16.38,25.00,21.56,,08/03/2010,16,31.6,4,,0,DF,
DES,7501431201088,DESECHABL,VASO TERM CONVERMEX 108,108,40,PTE,196.00,168.97,4.90,4.22,6.00,5.17,10/03/2011,10/03/2011,16,22.4,0,,0,GARIS,
PAL,7501130933174,PALETERIA,BUBBALOO PALETA HOLANDA 70 ML,70 ML,30,PZA,0.00,147.00,0.00,4.90,0.00,7.00,,05/07/2007,0,42.9,0,,0,HOLAN,
,7501073831889,,PEÑAFIEL 600 ML TORON,600,24,PZA,125.00,108.70,5.21,4.53,6.50,5.65,28/12/2009,28/12/2009,16,24.8,4,,0,PEÑAF,
ABA,7501116801206,,ERES TOA MANZ NOCT C/A 18/10,,18,PZA,262.00,225.86,14.56,12.55,18.00,15.52,08/03/2011,08/03/2011,16,23.7,-110,,0,GARIS,
ABA,7501116801145,,ERES TOA MANZ ANAT 25/10 P,,25,PZA,238.00,205.17,9.52,8.21,12.00,10.34,08/03/2011,08/03/2011,16,26.1,-241,,0,GARIS,
ABA,7501059935556,,APACHURRADOR P/FRIJOLES AKCO,,1,PZA,10.00,8.62,10.00,8.62,15.00,12.93,07/03/2010,07/03/2010,16,50.0,-1,,0,CENTR,
CER,75005221,CER,CERVEZA INDIO 325 ML RET,325 ML,20,CAJA,126.00,108.62,6.30,5.43,8.50,7.33,05/06/2010,05/06/2010,16,34.9,-1,,0,CUAHU,
ABA,7501200461613,,BENEDIK CAFE CON LECHE 22 GR,22 GR,10,CAJA,0.00,19.50,0.00,1.95,0.00,2.50,,06/03/2007,0,28.2,-7,,0,GARIS,
DUL,7502230200685,,CABALLITOS DE MAR CHOCOLATE 24 `,24 PZ,1,CAJA,0.00,21.70,0.00,21.70,0.00,27.00,,06/03/2007,0,24.4,0,,0,GARIS,
DUL,7502230200579,,TORTUGUITAS BONET CHOCOLATE 24 P,24 PZ,1,CAJA,0.00,30.60,0.00,30.60,0.00,38.00,,06/03/2007,0,24.2,0,,0,GARIS,
DUL,7502011675497,,COSTANZO PRINCESA 24 PZ,24 PZ,1,CAJA,0.00,47.30,0.00,47.30,0.00,59.00,,06/03/2007,0,24.7,0,,0,GARIS,
FER,0,,LLAVE MAMG 3/4 METAL,,1,PZA,30.00,26.09,30.00,26.09,44.00,38.26,15/08/2007,15/08/2007,16,46.7,0,,0,FERRE,
JAR,7502237250102,,ESCOBA EXTRA PERICO -140,140 P`ZA,22,P,429.00,369.83,19.50,16.81,25.00,21.55,09/04/2011,09/04/2011,16,28.2,3,,0,GARIS,
ABA,0,,FLEN HIG C/12 PZA,,8,PZA,92.00,80.00,11.50,10.00,13.80,12.00,,09/03/2007,16,20.0,0,,0,GARIS,
VIN,5900685006067,,VODKA WYBOROWA 1 LT,1 LT,1,BOTELLA,140.00,121.74,140.00,121.74,170.00,147.83,27/01/2009,27/01/2009,16,21.4,-1,,0,GALLI,
ABA,7501943455221,,PULL-UPS ET 4 NIÑO 32 PZ NIGHT,,1,PZA,124.00,106.90,124.00,106.90,150.00,129.31,29/03/2010,29/03/2010,16,21.0,-1,,0,GARIS,
ABA,7501943455320,,PULL-UPS ET 4 NIÑA 32 PZ NIGHT,,1,PZA,124.00,106.90,124.00,106.90,150.00,129.31,29/03/2010,29/03/2010,16,21.0,-1,,0,GARIS,
FAR,7501006819021,,MERTIOSEPTIC ROJO 60 ML,,1,PZA,14.70,12.78,14.70,12.78,19.20,16.69,09/08/2008,09/08/2008,16,30.6,-2,,0,GARIS,
FAR,7501008486320,,TABCIN INFANTIL EFERV,,12,PZA,0.00,21.50,0.00,1.79,0.00,2.50,03/01/2011,03/01/2011,0,39.5,0,,0,GARIS,
PER,7501054503095,PERFUMERI,NIVEA TARRO 100 ML AZUL.,100 ML,1,,26.70,23.02,26.70,23.02,33.50,28.88,16/02/2011,16/02/2011,16,25.5,-16,,0,GARIS,
PER,3014260288730,,GILLETTE BARRA 82 GS PURE FROST,85 G,1,PZA,27.30,23.74,27.30,23.74,34.00,29.57,03/01/2008,03/01/2008,16,24.5,1,,1,GARIS,
PER,7501050624008,,TALCO MEXANA 80 GR,80 GR,1,PZA,17.70,15.26,17.70,15.26,22.50,19.40,03/01/2011,03/01/2011,16,27.1,25,,0,GARIS,
PER,7503003526322,,SANTE SHAMPOO 400 ML NATURISTA,400 ML,1,BOT,26.00,22.61,26.00,22.61,32.50,28.26,,13/03/2007,16,25.0,0,,0,GARIS,
PER,7503003526384,SHAMPOO,SANTE SHAM 400 ML CHILE,400 ML,12,BOTELLA,300.00,260.87,25.00,21.74,32.50,28.26,,13/03/2007,16,30.0,-5,,0,GARIS,
PER,7503002163238,GEL,GEL XTREME 1K NJA,1 K,6,PZA,130.40,112.41,21.73,18.74,27.50,23.71,07/02/2011,07/02/2011,16,26.5,-6,,0,SCORP,
PER,7501026001147,JABON TOC,TEPEYAC 200 G VERDE,200 G,30,PZA,150.00,130.43,5.00,4.35,6.50,5.65,04/12/2009,04/12/2009,16,30.0,-58,,0,GARIS,
DUL,7501011125476,,SABRITAS TACOS 40 GR,40 GR,1,BOLSA,0.00,1.60,0.00,1.60,0.00,2.00,,14/03/2007,0,25.0,-15,,0,SABRI,
ABA,7501035906464,LIMPIADOR,FABULOSO 500 ML PINO,500 ML,24,BOTELLA,163.92,141.31,6.83,5.89,8.30,7.16,29/03/2010,29/03/2010,16,21.5,-312,,0,GARIS,
LAC,7501055900220,YOGHURT,ALPURA YOGHURT 1 K DZNO,1K,1,PZA,0.00,18.70,0.00,18.70,0.00,24.00,09/02/2011,09/02/2011,0,28.3,-40,,0,ALPUR,
LAC,7501055900206,YOGHURT,ALPURA YOGHURT 1 K FRESA,1K,1,PZA,0.00,18.70,0.00,18.70,0.00,24.00,29/04/2009,29/04/2009,0,28.3,-53,,0,ALPUR,
PER,7501027236111,TINTES,NUTRISSE 46 TAMARINDO,UNI,1,PZA,37.00,31.90,37.00,31.90,47.00,40.52,18/02/2011,18/02/2011,16,27.0,-12,,0,GARIS,
MER,0,,PANTI SUTIL LIKRA VANI CH-MED-GR,,12,PTE,165.00,142.24,13.75,11.85,18.00,15.52,02/02/2011,02/02/2011,16,30.9,0,,0,GARIS,
MER,0,,CALCETIN ALTAN. ADULTO,6,12,PTE,192.00,165.52,16.00,13.79,20.00,17.24,02/02/2011,02/02/2011,16,25.0,0,,0,ROGEL,
ABA,7501007455839,,ARIEL 450 G BLANQ OXIANILLOS,450 GR,30,PTE,340.00,293.10,11.33,9.77,13.50,11.64,22/03/2011,22/03/2011,16,19.1,-131,,0,GARIS,
ABA,7790580650100,CONSERVAS,DURAZNO 820 G ACORR,820 G,12,LATA,0.00,187.00,0.00,15.58,0.00,19.00,31/08/2010,31/08/2010,0,21.9,6,,0,GARIS,
ABA,7501005114509,JUGOS,ADES 200 ML MZA,200 ML,40,PZA,171.00,147.41,4.28,3.69,5.30,4.57,04/03/2011,04/03/2011,16,24.0,-937,,0,GARIS,
ABA,7613032269876,,NESTUM CEREAL 300/TRIGO/MIEL,300 G,1,PZA,0.00,25.00,0.00,25.00,0.00,31.00,29/05/2010,06/07/2010,0,24.0,2,,0,GARIS,
ABA,7501000941100,,CEREAL GERBER 300 G T/MIEL,300 G,1,PZA,0.00,15.04,0.00,15.04,0.00,18.80,,29/03/2007,0,25.0,18,,0,GARIS,
ABA,7501000941018,,CEREAL GERBER 300 G AVENA,300 G,1,PZA,0.00,20.20,0.00,20.20,0.00,25.00,13/11/2008,13/11/2008,0,23.8,17,,0,GARIS,
ABA,7501017004003,,JALAPEÑOS COST 380 G,380 G,24,PZA,0.00,166.00,0.00,6.92,0.00,8.50,18/12/2010,18/12/2010,0,22.9,-117,,0,GARIS,
PAP,0,,POSTIN BLOCK C/CLARO,,5,P,25.00,21.55,5.00,4.31,7.50,6.47,29/07/2010,29/07/2010,16,50.0,20,,0,D F,
PAP,0,,POSTIN BOLCK D/CORAZON,CORAZON,5,PZA,25.00,21.55,5.00,4.31,7.00,6.03,17/06/2010,29/07/2010,16,40.0,0,,0,DF,
GEM,0,,ESTRAZA 2A BALA ROJA 250 G,250 G,4,PZA,10.60,9.14,2.65,2.28,4.00,3.45,06/04/2011,06/04/2011,16,50.9,9,,0,GEMSA,
JAR,7501216619190,,CORTINA P/BAÑO NEW-LINE PYN,1.80,1,PZA,40.00,34.48,40.00,34.48,56.00,48.28,08/03/2010,07/01/2011,16,40.0,75009,,719,DIPLO,
ABA,78737156758,,CUBIERTO CUFIN P/6 PZ,,1,PZA,60.00,52.17,60.00,52.17,85.02,73.93,22/06/2008,22/06/2008,16,41.7,6,,0,GARIS,
ABA,7501007704401,,SERV PETALO COLOR 125 P,125 PZA,48,PZA,355.00,306.03,7.40,6.38,9.00,7.76,15/01/2011,15/01/2011,16,21.7,-124,,0,GARIS,
ABA,7501095425028,,CAL-C-TOSE C/LECHE 360 G,,1,PZA,0.00,39.50,0.00,39.50,0.00,48.00,,04/04/2007,0,21.5,-1,,0,GARIS,
ABA,7501025403355,,PINOL ESENCIAS NAT 1 L,1 L,6,PZA,79.20,68.28,13.20,11.38,16.30,14.05,06/05/2010,06/05/2010,16,23.5,-30,,0,GARIS,
ABA,7501006510362,,SALSA MTE 220 G MEX,220 G,1,PZA,0.00,5.80,0.00,5.80,0.00,7.50,,04/04/2007,0,29.3,-2,,0,GARIS,
ABA,7501000904228,,GERBER ET 2 113 G V/POLLO/A,113 G,24,PZA,0.00,168.00,0.00,7.00,0.00,8.50,17/02/2011,17/02/2011,0,21.4,7,,0,GARIS,
ABA,7501000913312,,GERBER ET 2 100 G MZA,100 G,1,PZA,0.00,5.56,0.00,5.56,0.00,6.80,23/03/2011,23/03/2011,0,22.3,-290,,0,GARIS,
ABA,7501000904242,,GERBER ET 2 113 G V/RES/AR,113 G,24,PZA,0.00,168.00,0.00,7.00,0.00,8.50,27/12/2009,27/12/2009,0,21.4,10,,0,GARIS,
VIN,5011013100132,,BAILEYS CREMA 750 ML,750 ML,1,CAJA,213.00,183.62,213.00,183.62,255.00,219.83,12/03/2011,12/03/2011,16,19.7,2,,0,GARIS,
VIN,89540468655,,MALIBU RON CON COCO 750 ML,750 ML,1,BOTELLA,140.30,120.95,140.30,120.95,170.00,146.55,06/04/2011,06/04/2011,16,21.2,-6,,0,GARIS,
ABA,7501270200006,,MORO JABON PLUS 400 GS ROSA,400 GR,20,PZA,120.50,104.78,6.03,5.24,7.30,6.35,15/09/2008,15/09/2008,16,21.2,2,,0,GARIS,
PER,7501027209559,,NUTRISSE 56 SANGRIA INTENSO,,1,PZA,37.00,31.90,37.00,31.90,47.00,40.52,18/02/2011,18/02/2011,16,27.0,-11,,0,GARIS,
PER,7503002163634,GEL,GEL XTREME 1K VDE,1 K,6,PZA,130.40,112.41,21.73,18.74,27.50,23.71,07/02/2011,07/02/2011,16,26.5,-4,,0,SCORP,
PER,7503002163139,GEL,GEL XTREME SURTIDO 1 KG,1 K,6,PZA,116.00,100.00,19.33,16.67,25.00,21.55,14/04/2010,14/04/2010,16,29.3,4,,0,ZORRO,
PER,7503004976768,GEL,GEL XTREME 450 G AMARI,450 G,12,PZA,142.10,122.50,11.84,10.21,15.30,13.19,07/02/2011,07/02/2011,16,29.2,-21,,5,SCORP,
PER,7503004976959,GEL,GEL XTREME 450 G SURTIDO,450 G,12,PZA,148.50,128.02,12.38,10.67,16.00,13.79,19/03/2011,19/03/2011,16,29.3,-17,,5,SCORP,
PER,7503004976850,GEL,GEL XTREME 450 G AZUL,450 G,12,PZA,142.10,122.50,11.84,10.21,15.30,13.19,07/02/2011,07/02/2011,16,29.2,-17,,5,SCORP,
PER,7503004976751,GEL,GEL XTREME 450 G VERDE,450 G,12,PZA,142.10,122.50,11.84,10.21,15.30,13.19,07/02/2011,07/02/2011,16,29.2,-21,,5,SCORP,
PER,7503004976669,GEL,GEL XTREME 450 G ROSA,450 G,12,PZA,142.10,122.50,11.84,10.21,15.30,13.19,07/02/2011,07/02/2011,16,29.2,-13,,5,SCORP,
,7501001321628,,PERT SHAM 400 ML FRUT,,12,PZA,326.00,283.48,27.17,23.62,35.80,31.13,22/05/2009,22/05/2009,16,31.8,-15,,0,GARIS,
PER,7503003526391,SHAMPOO,SANTE SHAM 400 ML ESCASO,400 ML,12,BOTELLA,300.00,260.87,25.00,21.74,32.50,28.26,,08/04/2007,16,30.0,-3,,0,GARIS,
